DATE,OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria
2021-01-12,123800,124170,124720,123230,0.24291497975708504,2.0047362404050304,gap_positivo_medio,0.3060109289617486,0.0003028265299894728,0.4722222222222222,0.00025781618936110905,0.4722222222222222,0.00029070031365368215,0.4722222222222222,0.00033293548145358595,0.4722222222222222,124059.85398230089
2021-01-13,123945,122270,124395,121020,-0.1812031891761295,1.2091211555627688,gap_negativo_medio,0.3177570093457944,0.0004370452221697552,0.3333333333333333,0.0003927602226112053,0.3333333333333333,0.00037723517283272585,0.3333333333333333,0.0004654930775288368,0.3333333333333333,122510.46902654867
2021-01-14,122805,123200,124045,122335,0.43755622801995586,2.788795240456123,gap_positivo_medio,0.3060109289617486,0.0004042186073131651,0.4722222222222222,0.00033431789392928996,0.4722222222222222,0.0003627582539413941,0.4722222222222222,0.00043129906068176485,0.4722222222222222,123212.78761061947
2021-01-15,122705,120350,122745,120075,-0.40178571428571425,1.3978011198757512,gap_negativo_medio,0.3177570093457944,0.0005419095329419866,0.3333333333333333,0.0005308670347788867,0.3333333333333333,0.0005937994982073915,0.3333333333333333,0.0005069024611493875,0.3333333333333333,121184.49115044248
2021-01-18,120730,121265,122780,119960,0.3157457415870378,2.2236102435977516,gap_positivo_medio,0.3060109289617486,0.0003281456658953563,0.4722222222222222,0.0003249962034372468,0.4722222222222222,0.00036621686334386113,0.4722222222222222,0.00041236307135529646,0.4722222222222222,121714.15486725664
2021-01-19,122195,120625,122440,119255,0.7669154331422917,2.3507835945315105,gap_positivo_medio,0.3060109289617486,0.0004411756658828893,0.4722222222222222,0.00039529105931978284,0.4722222222222222,0.00042015954569317844,0.4722222222222222,0.0004456505564404568,0.4722222222222222,120634.80530973451
2021-01-20,120580,119695,121520,118670,-0.03730569948186528,2.6707475577543915,gap_quase_nulo,0.12021857923497267,0.0003662632149913763,0.1388888888888889,0.00032992349685291626,0.1388888888888889,0.0003406102138353515,0.1388888888888889,0.00035331641599196966,0.1388888888888889,120064.2831858407
2021-01-21,120200,118200,120320,117745,0.42190567692886083,2.4016179320805597,gap_positivo_medio,0.3060109289617486,0.00038561091195644844,0.4722222222222222,0.0003880015393863811,0.4722222222222222,0.0004970162995645642,0.4722222222222222,0.0003789466951160845,0.4722222222222222,118868.71238938053
2021-01-22,116850,117500,117945,116065,-1.1421319796954315,2.186929381290076,gap_negativo_alto,0.1092896174863388,0.0007711881971122679,0.05555555555555556,0.0006430254301277279,0.05555555555555556,0.0004395529942925259,0.05555555555555556,0.000645515341881126,0.05555555555555556,116829.67410714286
2021-01-26,116790,116300,119195,116050,-0.6042553191489362,1.6197820186964202,gap_negativo_medio,0.3177570093457944,0.0005700819170295927,0.3333333333333333,0.0005307096586070035,0.3333333333333333,0.0006195632992404688,0.3333333333333333,0.000517365076143994,0.3333333333333333,117598.37168141593
2021-01-27,115745,115500,117870,114820,-0.4772141014617369,2.7100387763894873,gap_negativo_medio,0.31693989071038253,0.0008310926893446258,0.3333333333333333,0.0007624587990475944,0.3333333333333333,0.0008969054189556118,0.3333333333333333,0.0007848470632255053,0.3333333333333333,116298.47787610619
2021-01-28,115675,119325,119475,115465,0.15151515151515152,2.656331649538408,gap_positivo_medio,0.3060109289617486,0.0006752649036022594,0.4722222222222222,0.00046489538456985063,0.4722222222222222,0.00055982545086277,0.4722222222222222,0.0006456494113142638,0.4722222222222222,117900.56194690266
2021-01-29,118600,115000,118680,114710,-0.6075843285145611,3.472913870003897,gap_negativo_medio,0.3137254901960784,0.0008851128213728108,0.3333333333333333,0.0007481524230683662,0.3333333333333333,0.0007415993049211209,0.3333333333333333,0.0008570649544737752,0.3333333333333333,116661.61504424778
2021-02-01,116350,117450,117990,115660,1.1739130434782608,3.46090140353936,gap_positivo_alto,0.1764705882352941,0.0005511053968572347,0.0,0.0004933149676261232,0.0,0.00048026381030079037,0.0,0.0005517396762335701,0.0,116963.47864768683
2021-02-02,118485,118610,119915,117710,0.8812260536398467,2.014525332872212,gap_positivo_alto,0.14754098360655737,0.0007004907994573376,0.0,0.0006123286257604193,0.0,0.0006526500796838753,0.0,0.0007173549580123779,0.0,118620.53982300885
2021-02-03,118935,119840,120380,118550,0.2740072506534019,1.873247812420355,gap_positivo_medio,0.4236760124610592,0.00039186332613267604,0.4722222222222222,0.0003020318238784604,0.4722222222222222,0.00032266144967669705,0.4722222222222222,0.0004136083759250104,0.4722222222222222,119540.8185840708
2021-02-04,120110,118950,120685,118825,0.2253004005340454,1.5436524673133698,gap_positivo_medio,0.4236760124610592,0.000500571391268671,0.4722222222222222,0.00044478513663589775,0.4722222222222222,0.0005008043149744445,0.4722222222222222,0.0004369980804962804,0.4722222222222222,119619.0796460177
2021-02-05,119675,120500,121195,119365,0.6094997898276587,1.565327161792552,gap_positivo_medio,0.4236760124610592,0.0003934912332738851,0.4722222222222222,0.00029829382777868667,0.4722222222222222,0.0003171886222543923,0.4722222222222222,0.0004897257593104577,0.4722222222222222,120317.63274336283
2021-02-08,120520,119670,120885,119040,0.016597510373443983,1.5331127214845224,gap_quase_nulo,0.15264797507788164,0.00039432617459754055,0.1388888888888889,0.00026847861894783504,0.1388888888888889,0.00026219245517427025,0.1388888888888889,0.0004517470422773245,0.1388888888888889,120047.29129662522
2021-02-09,119600,119500,119980,118175,-0.058494192362329736,1.549899193548387,gap_quase_nulo,0.15264797507788164,0.0003653263873325047,0.1388888888888889,0.0003696201223584398,0.1388888888888889,0.0003379155549059404,0.1388888888888889,0.0003662373365241898,0.1388888888888889,119382.6814159292
2021-02-10,119750,118185,119915,117830,0.20920502092050208,1.5273958112968056,gap_positivo_medio,0.4236760124610592,0.00044396630855804707,0.4722222222222222,0.00027865121941434096,0.4722222222222222,0.00031236315745608774,0.4722222222222222,0.0004356769028746218,0.4722222222222222,118614.33628318584
2021-02-11,118645,119600,120325,118400,0.3892202902229555,1.7694984299414411,gap_positivo_medio,0.4236760124610592,0.0002750699287909356,0.4722222222222222,0.00032307672276069314,0.4722222222222222,0.0003989094300468433,0.4722222222222222,0.000317519366038441,0.4722222222222222,119374.5442477876
2021-02-12,119010,119570,119780,118025,-0.49331103678929766,1.6258445945945947,gap_negativo_medio,0.3177570093457944,0.0002624431516828421,0.3333333333333333,0.0003018768016091532,0.3333333333333333,0.0003843359686164742,0.3333333333333333,0.00025843642403206924,0.3333333333333333,119029.57079646018
2021-02-17,119695,120780,120800,119030,0.10454127289453877,1.4869730989197205,gap_positivo_medio,0.4236760124610592,0.0003201299395736441,0.4722222222222222,0.00027069363785633824,0.4722222222222222,0.00026806072046271735,0.4722222222222222,0.00032834063498088617,0.4722222222222222,120192.97692307692
2021-02-18,120600,119200,121050,118625,-0.14903129657228018,1.4870200789716879,gap_negativo_medio,0.3177570093457944,0.00028612436701384923,0.3333333333333333,0.0002394134064393767,0.3333333333333333,0.00029023545397991596,0.3333333333333333,0.0003114874427063903,0.3333333333333333,119659.04867256636
