DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2021-06-01,0,0,0,1,0.5435,0.0714,0.1216,0.6444,False,True,False
2021-06-02,1,1,1,0,0.4437,0.0714,0.1968,0.6569,True,False,False
2021-06-04,1,1,1,0,0.4348,0.1429,0.2307,0.6144,True,False,False
2021-06-07,0,0,1,0,0.422,0.0714,0.1723,0.6469,False,True,False
2021-06-08,1,1,1,1,0.4588,0.0714,0.2861,0.3905,True,False,False
2021-06-09,1,1,0,0,0.4495,0.0714,0.2452,0.433,False,True,False
2021-06-10,1,0,0,1,0.482,0.0714,0.2533,0.5791,False,False,True
2021-06-11,1,1,0,0,0.4467,0.0714,0.1836,0.5443,False,True,False
2021-06-14,0,0,0,1,0.5033,0.0714,0.2671,0.6685,True,False,False
2021-06-15,1,1,1,0,0.4499,0.0714,0.238,0.5465,False,True,False
2021-06-16,0,0,1,1,0.5253,0.0714,0.1736,0.5162,False,True,False
2021-06-17,1,0,1,0,0.4223,0.0714,0.3276,0.7171,True,False,False
2021-06-18,1,1,0,0,0.4458,0.0714,0.3854,0.487,True,False,False
2021-06-21,1,0,1,1,0.4797,0.0714,0.2132,0.3383,False,True,False
2021-06-22,0,0,1,0,0.4077,0.0714,0.2353,0.5662,True,False,False
2021-06-23,1,1,1,0,0.4458,0.0714,0.1929,0.6319,False,True,False
2021-06-24,0,0,0,1,0.5316,0.0714,0.2884,0.6031,True,False,False
2021-06-25,1,1,1,0,0.4463,0.0714,0.1308,0.5987,False,True,False
2021-06-28,1,1,0,1,0.4553,0.0714,0.5096,0.6573,True,False,False
2021-06-29,0,1,0,0,0.4297,0.0714,0.2411,0.5354,False,True,False
2021-06-30,0,0,0,0,0.4041,0.0714,0.2154,0.5331,False,True,False
2021-07-01,1,1,0,1,0.4619,0.0714,0.1759,0.5554,False,True,False
2021-07-02,0,0,0,1,0.5238,0.0714,0.3642,0.5866,True,False,False
2021-07-05,0,1,0,0,0.4417,0.0714,0.2856,0.4093,False,True,False
2021-07-06,0,0,0,0,0.4015,0.0714,0.1827,0.4795,False,True,False
2021-07-07,0,0,0,1,0.5448,0.0714,0.2601,0.6092,True,False,False
2021-07-08,0,0,1,0,0.2412,0.0714,0.3381,0.6032,True,False,False
2021-07-12,0,0,0,1,0.5115,0.1429,0.2829,0.5913,False,True,False
2021-07-13,0,0,1,0,0.3984,0.0714,0.2869,0.5754,False,False,True
2021-07-14,0,0,0,1,0.5273,0.0714,0.344,0.6471,True,False,False
2021-07-15,1,0,1,0,0.427,0.0714,0.2563,0.6589,False,True,False
2021-07-16,0,0,1,1,0.4816,0.0714,0.3497,0.4714,True,False,False
2021-07-19,0,0,1,0,0.2877,0.0714,0.3776,0.6285,True,False,False
2021-07-20,1,1,1,1,0.4617,0.0714,0.2354,0.4125,False,True,False
2021-07-21,0,1,1,1,0.4612,0.0714,0.3563,0.5195,True,False,False
2021-07-22,1,1,1,0,0.4461,0.0714,0.1559,0.578,False,True,False
2021-07-23,0,1,0,0,0.4487,0.0714,0.1847,0.4771,True,False,False
2021-07-26,1,1,0,1,0.4541,0.0714,0.3153,0.6415,True,False,False
2021-07-27,0,0,1,0,0.394,0.0714,0.2247,0.5578,False,True,False
2021-07-28,0,0,0,1,0.5081,0.0714,0.3154,0.5804,True,False,False
2021-07-29,1,1,1,1,0.457,0.0714,0.299,0.5376,False,False,True
2021-07-30,0,0,0,0,0.3499,0.0714,0.2615,0.3784,False,True,False
2021-08-02,0,0,0,1,0.5895,0.0714,0.5647,0.5535,True,False,False
2021-08-03,0,1,0,0,0.4323,0.0714,0.3322,0.3504,False,True,False
2021-08-04,0,0,0,0,0.4205,0.0714,0.515,0.2317,True,False,False
2021-08-05,0,0,1,1,0.5761,0.0714,0.3815,0.5259,False,True,False
2021-08-06,0,1,0,1,0.4629,0.0714,0.4296,0.6559,True,False,False
2021-08-09,1,0,1,0,0.4001,0.0714,0.3064,0.6694,False,True,False
2021-08-10,0,0,1,1,0.476,0.0714,0.2547,0.4983,False,True,False
2021-08-11,1,1,1,1,0.4676,0.0714,0.2485,0.2875,False,False,True
2021-08-12,0,0,0,0,0.4136,0.0714,0.3444,0.358,True,False,False
2021-08-13,0,0,1,1,0.508,0.0714,0.239,0.4858,False,True,False
2021-08-16,0,0,1,0,0.4059,0.0714,0.2374,0.6289,False,False,True
2021-08-17,0,0,0,0,0.4193,0.0714,0.3526,0.332,True,False,False
2021-08-18,1,0,1,1,0.5108,0.0714,0.5044,0.4628,True,False,False
2021-08-19,0,0,1,0,0.2906,0.0714,0.4446,0.7604,False,True,False
2021-08-20,0,0,1,0,0.3403,0.0714,0.5326,0.6924,True,False,False
2021-08-23,1,1,1,1,0.4645,0.0714,0.4835,0.4847,False,True,False
2021-08-24,0,0,0,1,0.5479,0.0714,0.2385,0.6179,False,True,False
2021-08-25,0,0,0,0,0.418,0.0714,0.317,0.5278,True,False,False
2021-08-26,0,0,1,0,0.39,0.0714,0.2921,0.5654,False,True,False
2021-08-27,0,0,1,1,0.4997,0.0714,0.3785,0.4782,True,False,False
2021-08-30,0,0,1,0,0.3782,0.0714,0.2991,0.7042,False,True,False
2021-08-31,1,1,0,0,0.4411,0.0714,0.1917,0.5231,False,True,False
2021-09-01,1,0,1,1,0.5088,0.0714,0.4085,0.3571,True,False,False
2021-09-02,0,0,0,0,0.3967,0.0714,0.3432,0.2947,False,True,False
2021-09-03,0,0,1,1,0.524,0.0714,0.3962,0.3787,True,False,False
